game_id,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,player,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,game_date,season,Team,Relinquished,Notes
21300486,1610612746.0,LAC,Los Angeles,101108.0,Chris Paul,G,,21.816666666666666,128.8,124.4,109.5,108.9,19.3,15.6,0.462,6.0,35.3,0.0,0.15,0.075,5.9,0.938,0.973,0.22,0.22699999999999998,97.09,99.02,82.52,45.0,0.233,2014-01-03,2013-14,Clippers,Chris Paul,separated right shoulder (out indefinitely)
21300630,1610612759.0,SAS,San Antonio,202695.0,Kawhi Leonard,F,,15.083333333333334,104.0,103.2,113.8,106.3,-9.8,-3.0,0.083,0.5,20.0,0.071,0.0,0.043,40.0,0.75,0.75,0.114,0.115,96.49,100.24,83.54,31.0,0.023,2014-01-22,2013-14,Spurs,Kawhi Leonard,fractured right hand (out indefinitely)
21300641,1610612746.0,LAC,Los Angeles,2584.0,Willie Green,,,5.683333333333334,100.0,90.0,88.9,88.9,11.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.667,0.3,0.33299999999999996,76.01,80.23,66.86,10.0,0.171,2014-01-24,2013-14,Clippers,Willie Green,placed on IL (P)
21400003,1610612747.0,LAL,Los Angeles,203944.0,Julius Randle,,,13.566666666666666,58.3,60.0,132.4,126.9,-74.1,-66.9,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.33299999999999996,0.258,0.172,0.174,89.58,90.22,75.18,25.0,-0.242,2014-10-28,2014-15,Lakers,Julius Randle,fractured tibia in right leg (out for season)
21400020,1610612760.0,OKC,Oklahoma City,201566.0,Russell Westbrook,G,,8.716666666666667,84.0,90.0,113.4,110.5,-29.4,-20.5,0.5,1.33,40.0,0.0,0.0,0.0,30.0,0.33299999999999996,0.33299999999999996,0.261,0.256,110.02,107.38,89.48,20.0,0.0,2014-10-30,2014-15,Thunder,Russell Westbrook,fractured right hand (DTD)
21400271,1610612762.0,UTA,Utah,203504.0,Trey Burke,G,,33.9,122.6,126.6,136.6,139.4,-14.0,-12.8,0.28600000000000003,8.0,33.3,0.028999999999999998,0.077,0.049,4.2,0.5,0.5,0.21600000000000005,0.213,94.49,92.05,76.71,64.0,0.084,2014-12-03,2014-15,Jazz,Trey Burke,placed on IL
21400653,1610612765.0,DET,Detroit,201943.0,Brandon Jennings,G,,26.133333333333333,86.5,87.3,103.3,105.7,-16.9,-18.4,0.308,0.8,16.7,0.03,0.042,0.035,20.8,0.46399999999999997,0.508,0.303,0.305,100.76,99.18,82.65,55.0,0.073,2015-01-24,2014-15,Pistons,Brandon Jennings,torn left Achilles (out for season)
21400661,1610612750.0,MIN,Minnesota,203133.0,Robbie Hummel,,,22.733333333333334,115.0,111.4,127.6,136.4,-12.5,-25.0,0.077,1.0,11.1,0.0,0.21100000000000002,0.095,11.1,0.583,0.654,0.154,0.158,94.63,92.9,77.42,44.0,0.09,2015-01-25,2014-15,Timberwolves,Robbie Hummel,fractured right hand (out indefinitely)
21400699,1610612761.0,TOR,Toronto,101161.0,Amir Johnson,F,,34.56666666666667,130.2,129.0,107.1,105.8,23.1,23.2,0.0,0.0,0.0,0.14300000000000002,0.071,0.1,13.3,0.909,0.94,0.195,0.196,94.79,95.81,79.85,69.0,0.15,2015-01-30,2014-15,Raptors,Amir Johnson,placed on IL
21500054,1610612754.0,IND,Indiana,101133.0,Ian Mahinmi,C,,5.483333333333333,91.7,84.6,116.5,115.4,-24.8,-30.8,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.071,0.077,108.9,113.8,94.83,13.0,-0.085,2015-11-03,2015-16,Pacers,Ian Mahinmi,sore lower back (DTD)
