game_id,team_id_a,team_id_b,away_home_a
21000337,1610612737,1610612759,0
21000338,1610612756,1610612757,1
21000339,1610612753,1610612762,0
21000340,1610612744,1610612748,1
21000341,1610612746,1610612763,1
21000342,1610612737,1610612754,1
21000343,1610612738,1610612766,0
21000344,1610612765,1610612761,1
21000345,1610612741,1610612750,1
21000346,1610612742,1610612762,1
21000347,1610612739,1610612745,0
21000348,1610612748,1610612758,0
21000349,1610612743,1610612752,0
21000350,1610612740,1610612755,0
21000351,1610612747,1610612751,0
21000352,1610612739,1610612760,0
21000353,1610612757,1610612759,0
21000354,1610612746,1610612753,1
21000355,1610612748,1610612740,1
21000356,1610612741,1610612754,1
21000357,1610612763,1610612757,1
21000358,1610612742,1610612749,1
21000359,1610612744,1610612762,0
21000360,1610612766,1610612761,1
21000361,1610612751,1610612755,1
21000362,1610612747,1610612764,0
21000363,1610612737,1610612765,0
21000364,1610612745,1610612758,1
21000365,1610612743,1610612753,1
21000366,1610612744,1610612750,1
21000367,1610612754,1610612747,1
21000368,1610612738,1610612752,0
21000369,1610612746,1610612755,0
21000370,1610612741,1610612761,0
21000371,1610612739,1610612748,0
21000372,1610612766,1610612763,0
21000373,1610612740,1610612758,1
21000374,1610612745,1610612760,0
21000375,1610612749,1610612759,0
21000376,1610612750,1610612756,0
21000377,1610612742,1610612757,1
21000378,1610612751,1610612764,1
21000379,1610612737,1610612738,0
21000380,1610612743,1610612759,1
21000381,1610612739,1610612754,0
21000382,1610612748,1610612752,0
21000383,1610612747,1610612755,0
21000384,1610612751,1610612761,0
21000385,1610612737,1610612766,1
21000386,1610612765,1610612746,1
21000387,1610612740,1610612762,1
21000388,1610612760,1610612758,1
21000389,1610612745,1610612763,1
21000390,1610612742,1610612756,1
21000391,1610612750,1610612757,0
21000392,1610612753,1610612755,1
21000393,1610612748,1610612764,0
21000394,1610612739,1610612752,1
21000395,1610612741,1610612746,1
21000396,1610612749,1610612762,1
21000397,1610612763,1610612759,0
21000398,1610612743,1610612750,1
21000399,1610612744,1610612757,0
21000400,1610612738,1610612754,1
21000401,1610612737,1610612751,0
21000402,1610612747,1610612761,0
21000403,1610612765,1610612740,1
21000404,1610612745,1610612758,0
21000405,1610612760,1610612756,1
21000406,1610612737,1610612753,1
21000407,1610612739,1610612762,1
21000408,1610612754,1610612740,1
21000409,1610612766,1610612764,0
21000410,1610612742,1610612748,0
21000411,1610612756,1610612759,0
21000412,1610612749,1610612757,0
21000413,1610612744,1610612745,1
21000414,1610612746,1610612750,1
21000415,1610612766,1610612760,1
21000416,1610612742,1610612753,0
21000417,1610612741,1610612755,1
21000418,1610612763,1610612751,1
21000419,1610612744,1610612758,0
21000420,1610612747,1610612749,1
